person_id,gesture_id,timestep,sample_id,imu_id,ax,ay,az,gx,gy,gz
5,3,0,237,0,-1.47240,-9.65100,-1.75970,-0.11780,0.00130,0.01790
5,3,1,237,0,-1.45330,-9.68690,-1.73100,-0.12820,0.02050,0.02480
5,3,2,237,0,-1.42930,-9.76120,-1.75260,-0.10470,0.04500,0.03650
5,3,3,237,0,-1.37670,-9.67740,-1.72140,-0.07970,0.06550,0.03570
5,3,4,237,0,-1.37910,-9.64140,-1.53470,-0.09250,0.08870,0.04320
5,3,5,237,0,-1.23060,-9.73720,-1.23540,-0.13960,0.11860,0.07250
5,3,6,237,0,-1.08220,-9.89760,-0.87870,-0.18710,0.19270,0.11350
5,3,7,237,0,-0.83080,-10.20650,-0.24420,-0.22330,0.31760,0.18570
5,3,8,237,0,-0.51240,-10.52250,0.20350,-0.28090,0.51190,0.29280
5,3,9,237,0,-0.19630,-10.83860,0.45490,-0.31070,0.74260,0.42210
5,3,10,237,0,0.26580,-11.31740,0.82600,-0.29020,0.99760,0.55660
5,3,11,237,0,1.08940,-11.56640,1.04150,-0.25550,1.28970,0.71010
5,3,12,237,0,1.35030,-11.59030,0.89300,-0.22010,1.61450,0.87560
5,3,13,237,0,1.09890,-11.32940,0.66080,-0.16840,1.91690,1.03810
5,3,14,237,0,0.88110,-11.07560,0.32560,-0.09330,2.18340,1.16420
5,3,15,237,0,0.81400,-10.88400,0.16520,-0.02160,2.41360,1.26890
5,3,16,237,0,0.75180,-10.86970,-0.09100,0.06320,2.62390,1.33420
5,3,17,237,0,0.71590,-10.86730,-0.66080,0.21210,2.78770,1.39920
5,3,18,237,0,0.72300,-10.66140,-1.33360,0.40800,2.90340,1.42160
5,3,19,237,0,0.54110,-10.41000,-1.89860,0.58910,2.98650,1.43140
5,3,20,237,0,0.21790,-10.12510,-2.36790,0.73700,3.06960,1.43490
5,3,21,237,0,-0.05510,-9.85690,-3.11250,0.88040,3.13630,1.41200
5,3,22,237,0,-0.22980,-9.36850,-3.84990,0.98750,3.14290,1.35580
5,3,23,237,0,-0.38070,-8.82500,-4.52980,1.11670,3.10590,1.24920
5,3,24,237,0,-0.77810,-8.87290,-5.13800,1.37230,3.04490,1.08660
5,3,25,237,0,-1.42690,-8.88250,-5.67430,1.77810,2.95210,0.88810
5,3,26,237,0,-1.77890,-8.63350,-5.92560,2.12880,2.81650,0.66590
5,3,27,237,0,-1.76450,-8.40600,-5.58570,2.10560,2.64840,0.50950
5,3,28,237,0,-1.52990,-8.04210,-4.82910,1.69820,2.53940,0.43410
5,3,29,237,0,-1.59930,-7.74050,-4.52740,1.21910,2.45810,0.36930
5,3,30,237,0,-1.71900,-7.88410,-4.74530,0.85750,2.35230,0.35170
5,3,31,237,0,-1.58260,-8.48510,-4.96320,0.67020,2.23480,0.31440
5,3,32,237,0,-1.57300,-8.81550,-5.00630,0.67120,2.13360,0.22060
5,3,33,237,0,-1.62330,-8.76520,-4.83630,0.76630,2.02110,0.14180
5,3,34,237,0,-1.65200,-8.43240,-4.46520,0.80710,1.92760,0.05140
5,3,35,237,0,-1.69030,-8.41800,-4.32390,0.75380,1.83670,0.00050
5,3,36,237,0,-1.64000,-8.30790,-4.24010,0.64540,1.75310,-0.06980
5,3,37,237,0,-1.75020,-8.47070,-4.27840,0.52790,1.65580,-0.11400
5,3,38,237,0,-1.69750,-8.48510,-4.12520,0.41890,1.59180,-0.15560
5,3,39,237,0,-1.80040,-8.65500,-3.90970,0.31200,1.55130,-0.17880
5,3,40,237,0,-1.74300,-8.80590,-3.91210,0.17050,1.52660,-0.13860
5,3,41,237,0,-1.78850,-8.82020,-4.21620,0.03620,1.50200,-0.12900
5,3,42,237,0,-1.99440,-8.77470,-4.28560,-0.00590,1.46070,-0.13000
5,3,43,237,0,-2.15960,-9.14590,-4.36220,0.05600,1.39890,-0.11430
5,3,44,237,0,-2.11410,-9.13150,-4.43410,0.10740,1.33550,-0.11620
5,3,45,237,0,-2.23140,-8.65500,-4.46280,0.04340,1.27020,-0.14520
5,3,46,237,0,-2.40140,-8.62150,-4.81000,-0.17000,1.16040,-0.09830
5,3,47,237,0,-2.32480,-8.60480,-5.27920,-0.43380,1.04000,-0.08930
5,3,48,237,0,-2.53070,-8.95910,-5.71020,-0.53690,0.87990,-0.08390
5,3,49,237,0,-2.54260,-9.07640,-6.02380,-0.46870,0.68720,-0.10230
5,3,50,237,0,-2.39420,-9.16740,-6.10280,-0.34430,0.47620,-0.13880
5,3,51,237,0,-2.28170,-9.28710,-6.21530,-0.19050,0.29020,-0.15190
5,3,52,237,0,-2.22420,-9.23440,-6.26320,-0.01570,0.09810,-0.16170
5,3,53,237,0,-2.10930,-9.24400,-6.16750,0.04640,-0.07030,-0.12020
5,3,54,237,0,-2.02310,-9.01660,-6.25370,-0.02180,-0.21720,-0.07860
5,3,55,237,0,-2.09250,-8.92560,-6.36860,-0.11220,-0.37090,-0.04580
5,3,56,237,0,-2.04940,-8.89210,-6.41410,-0.19290,-0.52040,-0.00720
5,3,57,237,0,-2.16200,-8.84420,-6.57450,-0.22280,-0.66620,0.00080
5,3,58,237,0,-2.33430,-8.67420,-6.63910,-0.18920,-0.83240,-0.01490
5,3,59,237,0,-2.34390,-8.62150,-6.49310,-0.15220,-1.03490,-0.04880
5,3,60,237,0,-2.09730,-8.80830,-5.95920,-0.22140,-1.21210,-0.04820
5,3,61,237,0,-1.85550,-8.77710,-5.52580,-0.39330,-1.33870,-0.02610
5,3,62,237,0,-1.93210,-8.60950,-5.88490,-0.55240,-1.45970,-0.03220
5,3,63,237,0,-2.07100,-8.64310,-6.18180,-0.59210,-1.64460,-0.10180
5,3,64,237,0,-1.75490,-9.23440,-5.19060,-0.58990,-1.80770,-0.13270
5,3,65,237,0,-1.49400,-9.44750,-4.53700,-0.58830,-1.86950,-0.13220
5,3,66,237,0,-1.59450,-9.08360,-4.93210,-0.54700,-1.92950,-0.15030
5,3,67,237,0,-1.61130,-8.73880,-5.38700,-0.47700,-2.07650,-0.24170
5,3,68,237,0,-1.43170,-9.16260,-4.62800,-0.48040,-2.20630,-0.28170
5,3,69,237,0,-1.30720,-9.35890,-3.95040,-0.49750,-2.26870,-0.30240
5,3,70,237,0,-1.49160,-8.96870,-3.98870,-0.49620,-2.30440,-0.32910
5,3,71,237,0,-1.47720,-8.71730,-3.93130,-0.53400,-2.37680,-0.38000
5,3,72,237,0,-1.20910,-9.03330,-3.18190,-0.67280,-2.39660,-0.39570
5,3,73,237,0,-1.12050,-9.55290,-2.70070,-0.79970,-2.34590,-0.38400
