person_id,gesture_id,timestep,sample_id,imu_id,ax,ay,az,gx,gy,gz
4,3,0,154,0,-0.85230,-9.63670,1.64480,-0.09270,-0.02340,-0.00880
4,3,1,154,0,-0.77330,-9.71330,1.86990,-0.09060,-0.01680,-0.00270
4,3,2,154,0,-0.60810,-9.79710,2.21940,-0.08770,0.02320,0.02110
4,3,3,154,0,-0.41660,-9.95990,2.40380,-0.11540,0.09910,0.04800
4,3,4,154,0,-0.29210,-10.16100,2.29360,-0.09700,0.17610,0.07890
4,3,5,154,0,-0.23220,-9.95750,2.05420,-0.06790,0.23560,0.10660
4,3,6,154,0,-0.24900,-9.78510,1.76450,-0.06180,0.27260,0.11720
4,3,7,154,0,-0.27530,-9.56960,1.46530,-0.06000,0.28620,0.10850
4,3,8,154,0,-0.57700,-9.14820,1.24020,-0.08690,0.26430,0.08690
4,3,9,154,0,-0.73500,-9.00220,0.89780,-0.14020,0.22090,0.04320
4,3,10,154,0,-0.79730,-9.22250,0.91220,-0.12660,0.17850,-0.00530
4,3,11,154,0,-0.96490,-9.40680,0.82120,-0.07220,0.12180,-0.02180
4,3,12,154,0,-1.03190,-9.47630,0.84040,-0.02320,0.06550,-0.04610
4,3,13,154,0,-1.13960,-9.27990,1.01040,-0.04420,0.01890,-0.04340
4,3,14,154,0,-1.17560,-9.40920,1.07740,-0.08820,-0.00370,-0.04260
4,3,15,154,0,-1.09420,-9.60550,1.30960,-0.09220,-0.01070,-0.02800
4,3,16,154,0,-1.06780,-9.62230,1.43890,-0.08340,-0.00510,-0.00910
4,3,17,154,0,-0.98880,-9.52410,1.53950,-0.09730,0.01090,0.00930
4,3,18,154,0,-0.95530,-9.39010,1.47240,-0.14360,0.03170,0.01790
4,3,19,154,0,-0.90260,-9.47860,1.46290,-0.20380,0.04240,0.02500
4,3,20,154,0,-0.90740,-9.79950,1.41740,-0.19050,0.03280,0.02800
4,3,21,154,0,-0.89540,-9.74680,1.43410,-0.12740,0.01170,0.03490
4,3,22,154,0,-0.90980,-9.47860,1.38860,-0.11300,-0.01170,0.02900
4,3,23,154,0,-0.87630,-9.44750,1.39100,-0.13670,-0.03140,0.02450
4,3,24,154,0,-0.86430,-9.61030,1.49400,-0.13110,-0.05380,0.01090
4,3,25,154,0,-0.75660,-9.72760,1.53230,-0.08180,-0.06210,0.00290
4,3,26,154,0,-0.74700,-9.63910,1.67120,-0.06950,-0.06130,0.01410
4,3,27,154,0,-0.69910,-9.66780,1.72140,-0.09460,-0.05330,0.02290
4,3,28,154,0,-0.67760,-9.70610,1.73580,-0.09110,-0.02370,0.02340
4,3,29,154,0,-0.71350,-9.60550,1.99440,-0.10450,-0.00450,0.03200
4,3,30,154,0,-0.52430,-10.14900,2.68390,-0.08790,0.03200,0.04370
4,3,31,154,0,-0.37110,-10.45310,3.64160,0.03940,0.12150,0.07970
4,3,32,154,0,-0.22030,-10.12510,4.65670,0.11780,0.27950,0.12340
4,3,33,154,0,0.13410,-10.19210,5.69580,0.08050,0.53430,0.18330
