person_id,gesture_id,timestep,sample_id,imu_id,ax,ay,az,gx,gy,gz
1,3,0,74,0,-0.37110,-9.80900,-0.37830,-0.10180,-0.00880,0.01120
1,3,1,74,0,-0.34720,-9.86170,-0.37830,-0.10500,-0.00590,0.01550
1,3,2,74,0,-0.28970,-9.89760,-0.35430,-0.10050,-0.00270,0.01790
1,3,3,74,0,-0.32800,-9.93830,-0.35670,-0.10100,0.00000,0.02110
1,3,4,74,0,-0.37350,-9.86890,-0.46450,-0.09670,-0.00030,0.02930
1,3,5,74,0,-0.40940,-9.79230,-0.47410,-0.10070,-0.00400,0.02720
1,3,6,74,0,-0.42620,-9.73720,-0.41660,-0.11400,-0.01070,0.02770
1,3,7,74,0,-0.43100,-9.75880,-0.47170,-0.11190,-0.01730,0.02160
1,3,8,74,0,-0.38070,-9.80430,-0.47640,-0.10260,-0.02180,0.02110
1,3,9,74,0,-0.45970,-9.80430,-0.54830,-0.09700,-0.02820,0.01730
1,3,10,74,0,-0.47410,-9.79470,-0.55310,-0.10450,-0.04180,0.01920
1,3,11,74,0,-0.38790,-9.90720,-0.50040,-0.11560,-0.05860,0.02080
1,3,12,74,0,-0.27530,-10.07720,-0.28490,-0.09730,-0.07140,0.02500
1,3,13,74,0,-0.16280,-10.22320,0.40700,-0.05860,-0.04960,0.04400
1,3,14,74,0,-0.05750,-10.58960,2.03990,0.02030,0.03060,0.06870
1,3,15,74,0,0.69910,-12.23920,5.85620,0.32060,0.33040,0.16490
1,3,16,74,0,1.99200,-13.68290,9.94310,0.79700,1.05840,0.38820
1,3,17,74,0,3.11490,-12.74910,11.37960,1.09090,2.06750,0.69360
1,3,18,74,0,4.30000,-10.24720,10.66620,0.90440,3.13730,0.87590
1,3,19,74,0,5.40130,-8.32220,10.04850,0.05700,4.18210,0.85270
1,3,20,74,0,5.57130,-8.69810,10.64700,-1.08500,5.07050,0.91720
1,3,21,74,0,5.56170,-10.45070,9.03570,-1.83430,5.81740,1.10320
1,3,22,74,0,6.20340,-12.27750,7.52500,-1.72350,6.33620,1.43280
1,3,23,74,0,7.19940,-12.93830,5.01820,-1.11830,6.71430,1.65020
1,3,24,74,0,7.71410,-12.21520,-0.08860,-0.66540,6.83240,1.86790
1,3,25,74,0,7.63750,-10.93670,-2.33910,-0.38560,6.63360,1.96060
1,3,26,74,0,6.85700,-10.44830,-6.13390,-0.25530,6.40070,1.97850
1,3,27,74,0,6.41890,-10.08440,-8.20730,0.22300,5.97650,2.04140
1,3,28,74,0,6.30390,-9.50260,-10.24720,0.62670,5.66820,2.01710
1,3,29,74,0,5.64550,-8.21450,-16.41700,0.62730,5.11950,1.89480
1,3,0,74,1,10.30940,-1.10610,-0.37350,-0.02450,-0.00110,-0.05440
1,3,1,74,1,10.30700,-1.10130,-0.39500,-0.03200,0.00110,-0.05300
1,3,2,74,1,10.30700,-1.13720,-0.34720,-0.03410,0.00160,-0.05120
1,3,3,74,1,10.29990,-1.14920,-0.39740,-0.02560,0.00240,-0.05460
1,3,4,74,1,10.33100,-1.14680,-0.32080,-0.02180,0.00130,-0.05810
1,3,5,74,1,10.29990,-1.13960,-0.38310,-0.01970,-0.00080,-0.06050
1,3,6,74,1,10.29030,-1.11330,-0.34960,-0.02130,-0.00190,-0.06000
1,3,7,74,1,10.29030,-1.11330,-0.35190,-0.02130,-0.00210,-0.06050
1,3,8,74,1,10.29030,-1.11090,-0.36870,-0.01570,-0.00270,-0.06050
1,3,9,74,1,10.30220,-1.10130,-0.34000,-0.01650,-0.00320,-0.05970
1,3,10,74,1,10.30460,-1.09650,-0.34720,-0.02500,-0.00350,-0.05760
1,3,11,74,1,10.31420,-1.12290,-0.35430,-0.02610,-0.00640,-0.05600
1,3,12,74,1,10.30700,-1.10850,-0.35190,-0.02080,-0.00880,-0.05600
1,3,13,74,1,10.31180,-1.10370,-0.36150,-0.01840,-0.00850,-0.05460
1,3,14,74,1,10.32140,-1.13010,-0.37110,-0.01520,-0.00770,-0.05620
1,3,15,74,1,10.29270,-1.12050,-0.33040,-0.00400,-0.00880,-0.05840
1,3,16,74,1,10.29750,-1.08220,-0.38790,0.00210,-0.00800,-0.06160
1,3,17,74,1,10.32380,-1.04630,-0.38550,-0.00590,-0.00670,-0.06160
1,3,18,74,1,10.29750,-1.06540,-0.41660,-0.01810,0.00030,-0.06020
1,3,19,74,1,10.31900,-1.12770,-0.31360,-0.01090,0.00050,-0.06500
1,3,20,74,1,10.34060,-1.15640,-0.30170,0.00690,0.00000,-0.06820
1,3,21,74,1,10.35970,-1.07740,-0.40700,0.01870,0.00400,-0.07220
1,3,22,74,1,10.32860,-1.07740,-0.42140,0.01950,0.01410,-0.07510
1,3,23,74,1,10.32380,-1.07020,-0.45250,0.01730,0.02960,-0.07970
1,3,24,74,1,10.32140,-1.08460,-0.41660,0.01790,0.04210,-0.08550
1,3,25,74,1,10.30940,-1.01750,-0.36150,0.02240,0.05570,-0.09270
1,3,26,74,1,10.33580,-0.96970,-0.39260,0.01230,0.06870,-0.09300
1,3,27,74,1,10.34770,-0.86910,-0.36870,-0.02080,0.07890,-0.08770
1,3,28,74,1,10.35490,-0.83080,-0.36150,-0.07890,0.08870,-0.07570
1,3,29,74,1,10.33340,-0.94090,-0.34240,-0.12740,0.09890,-0.06320
