person_id,gesture_id,timestep,sample_id,imu_id,ax,ay,az,gx,gy,gz
1,2,0,2,0,0.33280,-9.63190,1.93450,-0.07410,0.12630,0.06500
1,2,1,2,0,0.32080,-9.47630,1.95370,-0.03700,0.14040,0.05840
1,2,2,2,0,0.29450,-9.29190,1.93690,-0.03810,0.15030,0.04660
1,2,3,2,0,0.28970,-9.19610,1.91300,-0.06580,0.16090,0.03220
1,2,4,2,0,0.27290,-9.24880,1.79570,-0.09940,0.16970,0.01840
1,2,5,2,0,0.27530,-9.26320,1.67350,-0.11940,0.17640,0.00030
1,2,6,2,0,0.29690,-9.30150,1.56340,-0.14710,0.17370,-0.00850
1,2,7,2,0,0.31600,-9.33020,1.46760,-0.17910,0.16360,-0.01230
1,2,8,2,0,0.20590,-9.39960,1.32880,-0.19720,0.14180,-0.02450
1,2,9,2,0,0.09820,-9.50740,1.27130,-0.20730,0.10790,-0.03680
1,2,10,2,0,0.08140,-9.60310,1.39100,-0.19370,0.06740,-0.04610
1,2,11,2,0,0.10300,-9.71330,1.45570,-0.15270,0.03170,-0.04640
1,2,12,2,0,0.12210,-9.67980,1.57060,-0.08130,0.00720,-0.04420
1,2,13,2,0,0.11490,-9.62470,1.60890,-0.04580,-0.00210,-0.04240
1,2,14,2,0,0.23220,-9.57920,1.74300,-0.06500,0.00110,-0.03490
1,2,15,2,0,0.31120,-9.54570,1.87230,-0.09830,0.01760,-0.02530
1,2,16,2,0,0.29210,-9.65100,1.94890,-0.13190,0.04400,-0.00990
1,2,17,2,0,0.24900,-9.65820,2.01350,-0.12630,0.07220,-0.00850
1,2,18,2,0,0.23460,-9.60310,2.09730,-0.11400,0.10150,-0.01120
1,2,19,2,0,0.28250,-9.55770,2.11890,-0.13350,0.12150,-0.00690
1,2,0,2,1,10.23280,1.11330,-0.54830,-0.03220,-0.00530,-0.06850
1,2,1,2,1,10.22800,1.07260,-0.50280,-0.02610,-0.00450,-0.05890
1,2,2,2,1,10.28310,1.05580,-0.50520,-0.01600,-0.00320,-0.05280
1,2,3,2,1,10.28310,1.06060,-0.51240,-0.02030,-0.00370,-0.05380
1,2,4,2,1,10.27350,1.01750,-0.49080,-0.02580,-0.00450,-0.05760
1,2,5,2,1,10.25440,0.99600,-0.51950,-0.02960,-0.00480,-0.06290
1,2,6,2,1,10.27830,1.04870,-0.57220,-0.02480,-0.00610,-0.06950
1,2,7,2,1,10.21130,1.06060,-0.57700,-0.02930,-0.00400,-0.07330
1,2,8,2,1,10.23760,1.13010,-0.51950,-0.03200,-0.00400,-0.06900
1,2,9,2,1,10.25680,1.01990,-0.50280,-0.03440,-0.00270,-0.06710
1,2,10,2,1,10.25920,1.06300,-0.51240,-0.03120,-0.00480,-0.07110
1,2,11,2,1,10.25440,1.08940,-0.49800,-0.03140,-0.00400,-0.07250
1,2,12,2,1,10.21850,1.13720,-0.49800,-0.03380,-0.00530,-0.06610
1,2,13,2,1,10.22080,1.13960,-0.53870,-0.03680,-0.00430,-0.05780
1,2,14,2,1,10.27110,1.08940,-0.46450,-0.03570,-0.00450,-0.04980
1,2,15,2,1,10.26150,1.08220,-0.46690,-0.03440,-0.00640,-0.04960
1,2,16,2,1,10.27110,1.12770,-0.50760,-0.03360,-0.00610,-0.04610
1,2,17,2,1,10.25920,1.04390,-0.49320,-0.03460,-0.00670,-0.04560
1,2,18,2,1,10.25680,1.09650,-0.49800,-0.03460,-0.00800,-0.04720
1,2,19,2,1,10.21130,1.09650,-0.52910,-0.03490,-0.00960,-0.04690
