person_id,gesture_id,timestep,sample_id,imu_id,ax,ay,az,gx,gy,gz
1,2,0,9,0,0.66080,-9.68450,1.41980,-0.07090,0.36590,0.07510
1,2,1,9,0,0.65840,-9.77790,1.49160,-0.08580,0.40240,0.07910
1,2,2,9,0,0.60330,-9.89280,1.48680,-0.10660,0.44310,0.09300
1,2,3,9,0,0.53150,-9.99100,1.51790,-0.09570,0.49030,0.09670
1,2,4,9,0,0.40460,-9.97190,1.43410,-0.07890,0.52840,0.10850
1,2,5,9,0,0.28970,-9.92400,1.36710,-0.07350,0.55210,0.11510
1,2,6,9,0,0.15320,-9.89040,1.34080,-0.07830,0.57000,0.12470
1,2,7,9,0,0.07900,-9.76360,1.30720,-0.08550,0.59070,0.12660
1,2,8,9,0,-0.06460,-9.67260,1.18750,-0.10900,0.60110,0.13160
1,2,9,9,0,-0.13650,-9.63670,1.07020,-0.15400,0.60190,0.13060
1,2,10,9,0,-0.21550,-9.78750,0.91700,-0.17750,0.59790,0.13430
1,2,11,9,0,-0.33040,-9.78750,0.71110,-0.15000,0.58750,0.12740
1,2,12,9,0,-0.40220,-9.75160,0.64640,-0.12820,0.58060,0.12120
1,2,13,9,0,-0.42380,-9.75880,0.63210,-0.13300,0.57930,0.12260
1,2,14,9,0,-0.48360,-9.78510,0.45010,-0.14550,0.58520,0.13030
1,2,15,9,0,-0.51240,-9.81380,0.25860,-0.17560,0.59230,0.14440
1,2,16,9,0,-0.52910,-9.80670,0.17000,-0.24780,0.61820,0.17190
1,2,17,9,0,-0.61770,-9.91440,-0.17240,-0.38660,0.68530,0.22780
1,2,18,9,0,-0.80680,-10.04850,-0.73020,-0.50950,0.76450,0.30400
1,2,19,9,0,-1.08220,-9.86170,-1.45090,-0.60830,0.80550,0.37330
1,2,0,9,1,10.22560,1.11330,-0.30410,-0.04240,-0.01150,-0.08530
1,2,1,9,1,10.26150,0.96970,-0.28970,-0.04340,-0.00720,-0.08150
1,2,2,9,1,10.29030,1.05340,-0.30650,-0.04320,-0.00530,-0.08470
1,2,3,9,1,10.33340,0.95770,-0.21790,-0.05170,-0.00430,-0.09300
1,2,4,9,1,10.25920,1.01990,-0.23460,-0.04480,-0.00850,-0.10260
1,2,5,9,1,10.24000,1.11330,-0.29930,-0.04080,-0.00830,-0.10420
1,2,6,9,1,10.24000,1.09650,-0.27290,-0.03840,-0.01150,-0.10340
1,2,7,9,1,10.23760,1.13010,-0.32320,-0.04050,-0.01230,-0.09890
1,2,8,9,1,10.23280,1.11090,-0.30890,-0.04850,-0.01550,-0.09510
1,2,9,9,1,10.21610,1.15160,-0.28010,-0.04240,-0.01630,-0.09110
1,2,10,9,1,10.23760,1.18510,-0.28730,-0.03540,-0.01790,-0.08870
1,2,11,9,1,10.22560,1.12530,-0.28490,-0.04080,-0.02050,-0.08370
1,2,12,9,1,10.21850,1.24500,-0.26100,-0.03620,-0.02500,-0.07730
1,2,13,9,1,10.19690,1.24980,-0.25380,-0.04450,-0.02960,-0.06340
1,2,14,9,1,10.19930,1.22580,-0.28250,-0.05170,-0.03360,-0.05200
1,2,15,9,1,10.21130,1.20670,-0.32080,-0.06630,-0.03940,-0.04450
1,2,16,9,1,10.26870,1.15400,-0.23460,-0.07940,-0.04420,-0.03840
1,2,17,9,1,10.26390,1.05820,-0.26820,-0.06550,-0.04640,-0.03700
1,2,18,9,1,10.24960,1.13960,-0.28730,-0.03780,-0.04240,-0.03620
1,2,19,9,1,10.24720,1.10370,-0.37590,-0.01230,-0.03650,-0.03600
