person_id,gesture_id,timestep,sample_id,imu_id,ax,ay,az,gx,gy,gz
1,2,0,477,0,3.94090,-9.47150,3.28960,-0.33970,0.48310,-0.15960
1,2,1,477,0,3.77330,-9.43790,3.39500,-0.22620,0.53530,-0.10310
1,2,2,477,0,3.50510,-9.27750,3.56980,-0.17270,0.58830,-0.07540
1,2,3,477,0,3.34230,-9.29190,4.03180,-0.16970,0.65820,-0.02240
1,2,4,477,0,3.26570,-9.48100,4.23060,-0.19850,0.74960,0.06020
1,2,5,477,0,3.28010,-9.66540,4.24010,-0.19770,0.84340,0.16070
1,2,6,477,0,3.17470,-9.67740,4.19700,-0.18150,0.92250,0.24590
1,2,7,477,0,2.89220,-9.39960,3.98870,-0.34800,0.97630,0.36690
1,2,8,477,0,2.54980,-9.31820,3.49790,-0.72020,0.98700,0.45540
1,2,9,477,0,2.03750,-9.60310,2.67910,-1.06640,0.92810,0.56890
1,2,10,477,0,1.48920,-10.07480,1.87230,-1.21370,0.83640,0.66800
1,2,11,477,0,0.96730,-10.71880,1.10370,-1.09600,0.74450,0.75780
1,2,12,477,0,0.56980,-11.30300,0.35190,-0.74420,0.66400,0.85190
1,2,13,477,0,0.41420,-11.28390,-0.30650,-0.28800,0.56120,0.91180
1,2,14,477,0,0.44770,-10.61110,-0.76610,-0.03730,0.44610,0.97790
1,2,15,477,0,0.44050,-9.99580,-1.05110,-0.12710,0.32430,1.04800
1,2,16,477,0,0.35190,-10.03170,-1.54670,-0.37300,0.18790,1.13460
1,2,17,477,0,0.07900,-10.34060,-2.22180,-0.61100,0.00190,1.19300
1,2,18,477,0,0.02390,-11.00610,-2.81080,-0.71360,-0.24910,1.25180
1,2,19,477,0,0.23940,-11.40600,-3.10770,-0.69360,-0.56600,1.32540
1,2,20,477,0,0.57460,-11.26470,-3.30400,-0.71070,-0.91100,1.40400
1,2,21,477,0,0.79730,-11.45390,-3.55540,-0.75680,-1.29370,1.49890
1,2,22,477,0,0.82840,-11.63100,-4.20660,-0.72210,-1.81060,1.56330
1,2,23,477,0,0.88350,-11.86570,-4.77160,-0.73380,-2.48660,1.65100
1,2,24,477,0,1.28570,-12.54320,-5.15710,-0.81400,-3.32600,1.79170
1,2,25,477,0,2.23140,-13.08190,-5.00390,-0.87770,-4.28820,1.94680
1,2,26,477,0,3.86420,-13.12740,-3.39500,-0.53110,-5.10490,1.99230
1,2,27,477,0,5.45880,-13.25430,-2.09250,0.25820,-5.60660,1.99450
1,2,28,477,0,5.77720,-12.20560,-1.41020,1.22470,-5.87230,1.98190
1,2,29,477,0,5.76760,-10.52250,-0.68470,1.95320,-5.97300,2.03840
1,2,30,477,0,6.18180,-8.71730,0.17720,2.22550,-5.92240,2.12900
1,2,31,477,0,6.07170,-7.30950,0.06940,2.19350,-5.83290,2.25290
1,2,32,477,0,5.80120,-5.82510,-0.13650,1.80290,-5.76490,2.31320
1,2,33,477,0,6.57930,-4.11560,0.59620,1.15700,-5.60500,2.11460
1,2,34,477,0,8.07090,-3.26810,3.80440,0.46280,-5.16670,1.70780
1,2,35,477,0,8.74600,-3.48840,7.92960,-0.15160,-4.29160,1.43280
1,2,36,477,0,7.39330,-3.76850,9.40200,-0.63710,-3.22850,1.16150
1,2,37,477,0,5.98070,-4.43410,9.34220,-1.01580,-2.20680,0.81990
1,2,38,477,0,5.09730,-5.25050,9.10510,-1.26040,-1.28010,0.46230
1,2,39,477,0,3.93850,-5.97590,8.74840,-1.42800,-0.48710,0.14180
1,2,40,477,0,2.72700,-7.11080,7.96310,-1.61580,0.13780,-0.13380
1,2,41,477,0,1.99680,-8.93280,6.78760,-1.61050,0.60650,-0.31180
1,2,42,477,0,1.44130,-10.85770,5.70780,-1.28010,0.88840,-0.37860
1,2,43,477,0,0.93850,-11.86570,4.87940,-0.71070,1.00990,-0.35470
1,2,44,477,0,0.67760,-11.59030,4.14200,-0.16570,1.02000,-0.27210
1,2,45,477,0,0.48840,-10.56560,3.52190,0.09570,0.95500,-0.18410
1,2,46,477,0,0.08140,-9.61030,3.16270,0.06260,0.83220,-0.12630
1,2,47,477,0,-0.28490,-8.99500,2.84670,-0.15880,0.68510,-0.09090
1,2,48,477,0,-0.43570,-8.80110,2.59290,-0.35360,0.55820,-0.10180
1,2,49,477,0,-0.47170,-8.84900,2.39180,-0.43430,0.44390,-0.13560
1,2,50,477,0,-0.48360,-9.05730,2.29130,-0.38960,0.34690,-0.17370
1,2,51,477,0,-0.45010,-9.27030,2.36070,-0.24810,0.27020,-0.19580
1,2,52,477,0,-0.46690,-9.43080,2.50190,-0.07730,0.21080,-0.20250
1,2,53,477,0,-0.41660,-9.41400,2.66000,0.05380,0.17530,-0.19740
1,2,54,477,0,-0.27050,-9.35890,2.70780,0.09810,0.15830,-0.18090
1,2,55,477,0,-0.15800,-9.29190,2.76290,0.03920,0.14760,-0.14980
1,2,56,477,0,-0.05990,-9.20330,2.82990,-0.06290,0.14760,-0.11750
1,2,57,477,0,0.08860,-9.34460,2.96160,-0.16970,0.16470,-0.07510
1,2,58,477,0,0.19390,-9.56000,3.05020,-0.20600,0.18760,-0.04850
1,2,59,477,0,0.25380,-9.63190,3.09810,-0.15880,0.21530,-0.02530
1,2,60,477,0,0.24180,-9.38290,3.08610,-0.09250,0.23450,-0.02610
1,2,61,477,0,0.16040,-9.15540,3.12440,-0.08900,0.24330,-0.02800
1,2,62,477,0,0.17240,-9.10510,3.18910,-0.11510,0.24380,-0.03970
1,2,63,477,0,0.21550,-9.12910,3.18910,-0.11880,0.24460,-0.04260
1,2,64,477,0,0.14840,-9.09800,3.20820,-0.09860,0.24010,-0.05010
1,2,65,477,0,0.10060,-9.04770,3.17710,-0.09270,0.23240,-0.06400
1,2,66,477,0,0.12690,-9.01660,3.11250,-0.10630,0.22700,-0.07890
1,2,67,477,0,0.11490,-9.06210,3.03110,-0.10630,0.22300,-0.09030
1,2,0,477,1,-9.23680,-1.57060,-2.02070,-0.01440,-0.03300,-0.06320
1,2,1,477,1,-9.19610,-1.50360,-2.03750,-0.02260,-0.03940,-0.06180
1,2,2,477,1,-9.18180,-1.54900,-2.09730,-0.03860,-0.04160,-0.06420
1,2,3,477,1,-9.12430,-1.62810,-2.01350,-0.04180,-0.04020,-0.06210
1,2,4,477,1,-9.18420,-1.52270,-1.97760,-0.04640,-0.04020,-0.06260
1,2,5,477,1,-9.16740,-1.42460,-2.03030,-0.06630,-0.04240,-0.06950
1,2,6,477,1,-9.21050,-1.50360,-2.04940,-0.08420,-0.04720,-0.08130
1,2,7,477,1,-9.19370,-1.68550,-2.03750,-0.07190,-0.04960,-0.07780
1,2,8,477,1,-9.17220,-1.66400,-1.96800,-0.03620,-0.05440,-0.06740
1,2,9,477,1,-9.20330,-1.61370,-1.90820,-0.03730,-0.05700,-0.06580
1,2,10,477,1,-9.20090,-1.62090,-1.87710,-0.05490,-0.05460,-0.06740
1,2,11,477,1,-9.20570,-1.66400,-1.87710,-0.05300,-0.04720,-0.06020
1,2,12,477,1,-9.18890,-1.81000,-1.81960,-0.03970,-0.04130,-0.04820
1,2,13,477,1,-9.14590,-1.67350,-1.69030,-0.02030,-0.03200,-0.02820
1,2,14,477,1,-9.20570,-1.57060,-1.73580,-0.04100,-0.01870,-0.02980
1,2,15,477,1,-9.16500,-1.71900,-1.70470,-0.04640,-0.00690,-0.01840
1,2,16,477,1,-9.21050,-1.75020,-1.74060,-0.02050,0.00270,-0.00400
1,2,17,477,1,-9.25840,-1.65680,-1.76450,-0.00480,0.01150,0.00110
1,2,18,477,1,-9.18420,-1.65200,-1.84350,0.00430,0.02240,0.01010
1,2,19,477,1,-9.20090,-1.69510,-1.82440,0.03010,0.03460,0.01870
1,2,20,477,1,-9.20570,-1.53230,-1.85070,0.05090,0.04260,0.02530
1,2,21,477,1,-9.21290,-1.45330,-1.86270,0.03840,0.05410,0.02130
1,2,22,477,1,-9.21770,-1.62330,-1.81960,0.03460,0.05460,0.02260
1,2,23,477,1,-9.19130,-1.64480,-1.93450,0.05700,0.06740,0.03520
1,2,24,477,1,-9.23200,-1.41260,-1.94410,0.04640,0.06710,0.04050
1,2,25,477,1,-9.22250,-1.52270,-2.05420,0.02290,0.05060,0.03570
1,2,26,477,1,-9.20810,-1.57300,-2.03990,0.04240,0.04580,0.04130
1,2,27,477,1,-9.23440,-1.35510,-2.05660,0.04400,0.04720,0.04130
1,2,28,477,1,-9.19610,-1.25700,-2.05180,0.00530,0.04610,0.03010
1,2,29,477,1,-9.16020,-1.20670,-2.02550,-0.02530,0.05200,0.01550
1,2,30,477,1,-9.22960,-1.04390,-2.18590,-0.05810,0.05300,-0.00610
1,2,31,477,1,-9.20090,-1.12530,-2.23140,-0.08100,0.04720,-0.03140
1,2,32,477,1,-9.22250,-1.34310,-2.16440,-0.09220,0.03680,-0.04450
1,2,33,477,1,-9.18420,-1.25460,-2.21940,-0.07890,0.02640,-0.05200
1,2,34,477,1,-9.23200,-1.36950,-2.19550,-0.09110,0.01550,-0.06260
1,2,35,477,1,-9.21770,-1.54900,-2.13800,-0.08390,0.00320,-0.06340
1,2,36,477,1,-9.21050,-1.63050,-2.12610,-0.05860,-0.00510,-0.05140
1,2,37,477,1,-9.15540,-1.46050,-2.10450,-0.04290,-0.01310,-0.04400
1,2,38,477,1,-9.26800,-1.36950,-2.13080,-0.05440,-0.02080,-0.05520
1,2,39,477,1,-9.22490,-1.34550,-2.22900,-0.05760,-0.02740,-0.06610
1,2,40,477,1,-9.17220,-1.26410,-2.23620,-0.05220,-0.03440,-0.07430
1,2,41,477,1,-9.22490,-1.28090,-2.23620,-0.05280,-0.03780,-0.09330
1,2,42,477,1,-9.09800,-1.28330,-2.19550,-0.05890,-0.04080,-0.09810
1,2,43,477,1,-9.09560,-1.21860,-2.12370,-0.08710,-0.04660,-0.10550
1,2,44,477,1,-9.24400,-1.56580,-1.92730,-0.10050,-0.05540,-0.11030
1,2,45,477,1,-9.22010,-1.79090,-1.66880,-0.03650,-0.05040,-0.08150
1,2,46,477,1,-9.23440,-1.59930,-1.64240,-0.01360,-0.03890,-0.06080
1,2,47,477,1,-9.26560,-1.72140,-1.87710,-0.03090,-0.03760,-0.05120
1,2,48,477,1,-9.19850,-1.72620,-2.01830,0.00050,-0.02960,-0.02580
1,2,49,477,1,-9.15300,-1.57780,-2.06620,0.03540,-0.01810,-0.00590
1,2,50,477,1,-9.16740,-1.43650,-1.98480,0.03300,-0.00590,-0.00400
1,2,51,477,1,-9.24160,-1.38380,-1.95370,0.01550,-0.00240,-0.00670
1,2,52,477,1,-9.21770,-1.24740,-1.97280,0.00910,0.00050,-0.01570
1,2,53,477,1,-9.21290,-1.16840,-2.01110,-0.00830,-0.00130,-0.03170
1,2,54,477,1,-9.22250,-1.24980,-2.03510,-0.01550,-0.00080,-0.04740
1,2,55,477,1,-9.22730,-1.28810,-2.04700,-0.01970,0.00320,-0.06000
1,2,56,477,1,-9.19850,-1.35510,-2.05180,-0.02240,0.00080,-0.07170
1,2,57,477,1,-9.21290,-1.50600,-2.07580,-0.02000,-0.00050,-0.06790
1,2,58,477,1,-9.21770,-1.53950,-2.05180,-0.01280,-0.00270,-0.05890
1,2,59,477,1,-9.18420,-1.45090,-2.04700,-0.01040,-0.00350,-0.04980
1,2,60,477,1,-9.22010,-1.58020,-1.98480,-0.02320,-0.00450,-0.04800
1,2,61,477,1,-9.20810,-1.47480,-2.02310,-0.01250,-0.00430,-0.04050
1,2,62,477,1,-9.19610,-1.42220,-1.98480,-0.01440,-0.00640,-0.03840
1,2,63,477,1,-9.18420,-1.46290,-2.02070,-0.02450,-0.00530,-0.04080
1,2,64,477,1,-9.22010,-1.43890,-2.00870,-0.02260,-0.00370,-0.03970
1,2,65,477,1,-9.22730,-1.46530,-2.06380,-0.01710,-0.00800,-0.03810
1,2,66,477,1,-9.21770,-1.55140,-2.06380,-0.00130,-0.00510,-0.02820
1,2,67,477,1,-9.20090,-1.45330,-2.03030,0.00910,-0.00830,-0.02210
