person_id,gesture_id,timestep,sample_id,imu_id,ax,ay,az,gx,gy,gz
1,6,0,529,0,2.86590,-8.25760,4.24730,-0.10550,-0.00030,-0.01310
1,6,1,529,0,2.83470,-8.16180,4.24490,-0.12200,-0.00930,-0.01120
1,6,2,529,0,2.78450,-8.17620,4.27130,-0.14660,-0.01870,-0.00830
1,6,3,529,0,2.79880,-8.28150,4.30000,-0.14710,-0.02980,-0.00720
1,6,4,529,0,2.83470,-8.33900,4.32630,-0.11620,-0.04000,-0.01330
1,6,5,529,0,2.86590,-8.31750,4.28080,-0.08950,-0.04720,-0.00510
1,6,6,529,0,2.81560,-8.24560,4.29760,-0.08770,-0.05040,0.00800
1,6,7,529,0,2.84190,-8.20490,4.38860,-0.10660,-0.05040,0.02320
1,6,8,529,0,2.88740,-8.30070,4.41010,-0.11110,-0.04450,0.03060
1,6,9,529,0,2.94490,-8.36530,4.41490,-0.09030,-0.03170,0.03650
1,6,10,529,0,3.05500,-8.32700,4.41490,-0.06690,-0.01120,0.03940
1,6,11,529,0,3.03580,-8.26240,4.41010,-0.06610,0.01550,0.03780
1,6,12,529,0,3.00950,-8.10440,4.39810,-0.09330,0.04370,0.02260
1,6,13,529,0,2.93530,-8.05170,4.32630,-0.14340,0.07030,0.00480
1,6,14,529,0,2.87780,-8.15230,4.29520,-0.18730,0.09090,-0.01520
1,6,15,529,0,2.91370,-8.31990,4.30000,-0.18280,0.09620,-0.03140
1,6,16,529,0,2.94010,-8.40360,4.34070,-0.14040,0.08900,-0.05120
1,6,17,529,0,2.93290,-8.33900,4.35030,-0.09670,0.07140,-0.06260
1,6,18,529,0,2.94970,-8.22410,4.29040,-0.09300,0.05330,-0.07140
1,6,19,529,0,2.86350,-8.15230,4.25450,-0.11380,0.03600,-0.07570
1,6,20,529,0,2.79400,-8.21450,4.24970,-0.11620,0.01790,-0.07190
1,6,21,529,0,2.84430,-8.32940,4.30000,-0.09970,0.00290,-0.06450
1,6,22,529,0,2.89220,-8.32940,4.25930,-0.06820,-0.01310,-0.05600
1,6,23,529,0,2.83230,-8.22890,4.25690,-0.05620,-0.03010,-0.04000
1,6,24,529,0,2.83710,-8.21930,4.27840,-0.08290,-0.04240,-0.02240
1,6,25,529,0,2.88980,-8.29110,4.35270,-0.10150,-0.04820,-0.00530
1,6,26,529,0,2.97360,-8.28150,4.30960,-0.08630,-0.05200,0.01230
1,6,27,529,0,2.98800,-8.16420,4.26410,-0.06710,-0.05360,0.01790
1,6,28,529,0,3.01670,-8.16420,4.35980,-0.08050,-0.04690,0.01360
1,6,29,529,0,3.11010,-8.37490,4.42450,-0.08740,-0.02800,0.00910
1,6,30,529,0,3.23940,-8.52810,4.53700,-0.05600,-0.00130,0.01390
1,6,31,529,0,3.43570,-8.47070,4.47720,-0.02930,0.03380,0.03300
1,6,32,529,0,3.37580,-8.23370,4.48670,-0.03220,0.05840,0.04450
1,6,33,529,0,3.24890,-7.91280,4.51550,-0.08610,0.07990,0.04290
1,6,34,529,0,3.02630,-7.79550,4.42450,-0.16040,0.09170,0.02850
1,6,35,529,0,2.86590,-7.85540,4.28080,-0.18920,0.08950,0.00450
1,6,36,529,0,2.71980,-8.05410,4.19220,-0.15370,0.07110,-0.01890
1,6,37,529,0,2.76530,-8.17380,4.18990,-0.08450,0.04480,-0.03380
1,6,38,529,0,2.95210,-8.20730,4.26650,-0.03570,0.02370,-0.03540
1,6,39,529,0,3.10050,-8.22410,4.27370,-0.04020,0.01630,-0.02530
1,6,40,529,0,3.13880,-8.26960,4.22820,-0.07570,0.01810,-0.01330
1,6,41,529,0,3.21300,-8.34620,4.26650,-0.10690,0.02610,-0.01070
1,6,42,529,0,3.19870,-8.37970,4.28320,-0.11220,0.03650,-0.01010
1,6,43,529,0,3.06700,-8.25760,4.23530,-0.10690,0.03840,-0.01360
1,6,44,529,0,2.90420,-8.06850,4.19700,-0.11830,0.03060,-0.01650
1,6,45,529,0,2.81320,-8.05890,4.21380,-0.14630,0.01680,-0.01970
1,6,46,529,0,2.80360,-8.20490,4.22100,-0.14820,-0.00270,-0.01730
1,6,47,529,0,2.78920,-8.30790,4.17550,-0.10690,-0.02960,-0.01330
1,6,48,529,0,2.79640,-8.23130,4.20420,-0.06550,-0.05540,-0.00720
1,6,49,529,0,2.81080,-8.18340,4.28320,-0.07540,-0.06820,0.00290
1,6,50,529,0,2.82760,-8.23840,4.31670,-0.10260,-0.06850,0.01440
1,6,51,529,0,2.65520,-8.39410,4.18990,-0.09140,-0.07590,0.02740
1,6,52,529,0,2.26970,-8.64070,4.11560,-0.04100,-0.10950,0.02930
