person_id,gesture_id,timestep,sample_id,imu_id,ax,ay,az,gx,gy,gz
1,5,0,553,0,-2.57140,-8.46590,4.22340,-0.10260,0.31550,-0.04930
1,5,1,553,0,-2.72940,-8.42760,4.24010,-0.00990,0.33840,-0.05300
1,5,2,553,0,-3.04540,-8.19060,4.28320,0.00590,0.35280,-0.03410
1,5,3,553,0,-3.32080,-8.16660,4.40770,-0.06370,0.36750,-0.00430
1,5,4,553,0,-3.64880,-8.37250,4.51550,-0.11540,0.37540,0.03330
1,5,5,553,0,-4.07250,-8.61910,4.49870,-0.10310,0.36510,0.07970
1,5,6,553,0,-4.51070,-8.78190,4.53700,-0.08230,0.34160,0.14440
1,5,7,553,0,-5.07810,-8.67420,4.31670,-0.10530,0.27900,0.22410
1,5,8,553,0,-5.73170,-8.25760,3.99590,-0.21900,0.15770,0.34130
1,5,9,553,0,-6.40690,-7.93440,3.82830,-0.48120,-0.04100,0.51190
1,5,10,553,0,-7.47470,-7.79790,3.56020,-0.75330,-0.28880,0.73010
1,5,11,553,0,-8.98070,-8.05170,3.19630,-0.82840,-0.58730,0.99150
1,5,12,553,0,-10.03170,-8.67900,2.73180,-0.48900,-0.87450,1.27180
1,5,13,553,0,-10.63030,-8.77950,2.24100,0.19580,-1.10100,1.56490
1,5,14,553,0,-10.84570,-7.82900,1.98480,0.89480,-1.25340,1.77540
1,5,15,553,0,-11.07080,-6.09320,1.62570,1.25160,-1.33870,1.91000
1,5,16,553,0,-11.21680,-4.61840,1.36710,1.19620,-1.39230,1.90650
1,5,17,553,0,-11.62150,-3.68950,1.07500,0.76900,-1.45810,1.71970
1,5,18,553,0,-12.30620,-4.12520,0.60570,0.26110,-1.54790,1.35420
1,5,19,553,0,-12.65100,-5.29840,-0.69430,0.17770,-1.79090,0.88330
1,5,20,553,0,-11.31500,-6.07890,-1.85790,0.74240,-2.23240,0.15160
1,5,21,553,0,-8.54490,-6.03340,-2.39660,1.69230,-2.80720,-0.78020
1,5,22,553,0,-4.22100,-5.49230,-1.44130,2.68110,-3.35180,-1.81460
1,5,23,553,0,1.34550,-5.35580,0.03830,3.61140,-3.60100,-2.81440
1,5,24,553,0,7.27600,-5.36780,0.69670,4.39130,-3.85840,-3.56340
1,5,25,553,0,14.70760,-4.96800,1.25940,4.96770,-4.09180,-3.92770
1,5,26,553,0,18.84960,-5.28640,3.41890,5.49390,-4.05850,-4.03160
1,5,27,553,0,19.71860,-7.63510,8.20970,6.17150,-3.51280,-3.57250
1,5,28,553,0,19.68270,-10.88400,12.51210,7.11190,-2.06160,-2.69610
1,5,29,553,0,14.08750,-5.63120,5.20980,7.60590,-0.57880,-1.11300
