person_id,gesture_id,timestep,sample_id,imu_id,ax,ay,az,gx,gy,gz
1,4,0,419,0,9.83060,-2.30560,3.30880,0.10230,-0.07060,0.15930
1,4,1,419,0,9.78270,-2.12610,3.28720,0.04880,-0.03490,0.23130
1,4,2,419,0,9.77310,-2.03030,3.27530,-0.03200,-0.00530,0.29660
1,4,3,419,0,9.70850,-2.07100,3.24650,-0.10180,0.01710,0.34960
1,4,4,419,0,9.67740,-2.13320,3.22260,-0.11940,0.03570,0.38210
1,4,5,419,0,9.68930,-2.13560,3.18430,-0.09620,0.05410,0.40100
1,4,6,419,0,9.65820,-2.04940,3.14840,-0.07490,0.07140,0.40400
1,4,7,419,0,9.54570,-1.95370,3.13160,-0.07030,0.07990,0.39520
1,4,8,419,0,9.46190,-1.91780,3.13640,-0.06980,0.08550,0.37890
1,4,9,419,0,9.35890,-1.86990,3.12920,-0.06930,0.08690,0.35950
1,4,10,419,0,9.31340,-1.84830,3.13400,-0.06240,0.08390,0.33330
1,4,11,419,0,9.30630,-1.81960,3.12440,-0.04880,0.07990,0.29900
1,4,12,419,0,9.34220,-1.79570,3.08610,-0.03040,0.07750,0.25770
1,4,13,419,0,9.29190,-1.76450,3.11490,-0.01760,0.07430,0.21210
1,4,14,419,0,9.25600,-1.71420,3.09810,-0.01890,0.06850,0.16710
1,4,15,419,0,9.19370,-1.68550,3.09330,-0.03250,0.06340,0.11960
1,4,16,419,0,9.05970,-1.71900,3.04780,-0.04340,0.05010,0.07220
1,4,17,419,0,8.95670,-1.76930,3.00470,-0.04370,0.03460,0.02130
1,4,18,419,0,8.78430,-1.82680,3.00470,-0.03220,0.01810,-0.02820
1,4,19,419,0,8.62870,-1.84110,2.96400,-0.02480,-0.00050,-0.08100
1,4,20,419,0,8.53050,-1.88420,2.90180,-0.03040,-0.01950,-0.12390
1,4,21,419,0,8.43240,-1.90340,2.86350,-0.05700,-0.04580,-0.16330
1,4,22,419,0,8.48980,-1.94650,2.86590,-0.09750,-0.07910,-0.19720
1,4,23,419,0,8.57360,-2.09490,2.94730,-0.12600,-0.11110,-0.22940
1,4,24,419,0,8.66940,-2.19070,2.94490,-0.12420,-0.13750,-0.25420
1,4,25,419,0,8.82740,-2.25530,2.91370,-0.10820,-0.16150,-0.27070
1,4,26,419,0,8.96870,-2.27690,2.93530,-0.09460,-0.18090,-0.28300
1,4,27,419,0,9.09560,-2.29840,3.07420,-0.08420,-0.19130,-0.28960
1,4,28,419,0,9.17220,-2.31280,3.16990,-0.08020,-0.18630,-0.28030
1,4,29,419,0,8.98780,-2.29600,3.04300,-0.09090,-0.18550,-0.24970
1,4,30,419,0,8.79870,-2.27930,2.89700,-0.12150,-0.21290,-0.20570
1,4,31,419,0,8.81070,-2.34870,2.88020,-0.15140,-0.25530,-0.17610
1,4,32,419,0,8.95670,-2.42290,2.95210,-0.14470,-0.29150,-0.18150
1,4,33,419,0,9.22490,-2.60490,3.06220,-0.11030,-0.31420,-0.20680
1,4,34,419,0,9.31340,-2.69110,3.08130,-0.07910,-0.31580,-0.24910
1,4,35,419,0,9.09560,-2.69830,2.90180,-0.07590,-0.32190,-0.28060
1,4,36,419,0,8.81310,-2.78210,2.69110,-0.06790,-0.33730,-0.27630
1,4,37,419,0,8.57120,-2.99040,2.59290,-0.03570,-0.35280,-0.26140
1,4,38,419,0,8.66460,-3.49790,2.56660,0.00270,-0.35230,-0.19480
1,4,39,419,0,8.83460,-4.11800,2.63600,0.03890,-0.34130,-0.06100
1,4,40,419,0,8.80590,-4.25210,2.80120,0.06050,-0.31980,0.09830
1,4,41,419,0,8.76280,-4.46760,2.95210,0.01520,-0.24750,0.30700
1,4,42,419,0,8.20970,-4.92970,2.99040,-0.11430,-0.12550,0.59900
1,4,43,419,0,6.98390,-5.18110,3.26570,-0.25340,0.01970,0.97870
1,4,44,419,0,6.17230,-5.11640,4.00550,-0.40260,0.20040,1.45060
1,4,45,419,0,5.57370,-5.22650,4.57290,-0.64800,0.42340,2.02590
1,4,46,419,0,5.26480,-5.79400,4.62320,-0.90810,0.63070,2.65640
1,4,47,419,0,6.44760,-6.82830,4.71180,-1.14420,0.75460,3.29290
1,4,48,419,0,9.36370,-8.38450,5.44920,-1.37410,0.85030,3.77980
1,4,49,419,0,13.13220,-11.24800,6.33980,-1.51720,0.96890,4.00200
1,4,50,419,0,17.49440,-15.12900,7.20420,-1.24220,1.13330,4.00920
1,4,51,419,0,21.21020,-17.72670,7.36460,-0.55610,1.30190,4.39130
1,4,52,419,0,21.47120,-16.90790,7.23050,-0.02980,1.41310,4.93780
1,4,53,419,0,19.29490,-15.49050,7.14910,0.42820,1.46420,5.00790
1,4,54,419,0,17.42500,-14.92550,6.90250,1.10210,1.41170,4.86320
1,4,55,419,0,16.12730,-13.48650,6.46670,1.91690,1.36060,4.37480
1,4,56,419,0,14.67170,-12.04040,5.42530,2.41340,1.30030,3.55170
1,4,57,419,0,12.47620,-10.05800,4.41970,2.36990,1.13270,2.66380
